sample_id	rank	taxon	abundance	lineage	habitat
SRR10070141	Order	Burkholderiales	0.3392905630569475	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	Groundwater
SRR10070141	Order	Nitrosomonadales	0.12443533855002345	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales	Groundwater
SRR10070141	Order	""	0.10377428352793068	Bacteria;;;	Groundwater
SRR10070141	Order	Nitrosopumilaceae	0.09812149786477747	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae	Groundwater
SRR10070141	Order	""	0.04685147243958431	Bacteria;Proteobacteria;Gammaproteobacteria;	Groundwater
SRR10070141	Order	Sphingomonadales	0.03186788773419565	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	Groundwater
SRR10070141	Order	""	0.026116363456838883	Bacteria;Proteobacteria;Betaproteobacteria;	Groundwater
SRR10070141	Phylum	Proteobacteria	0.6493791809631951	Bacteria;Proteobacteria	Groundwater
SRR10070141	Phylum	Thaumarchaeota	0.1074769815605638	Archaea;Thaumarchaeota	Groundwater
SRR10070141	Phylum	""	0.10377428352793068	Bacteria;	Groundwater
SRR10070141	Phylum	Firmicutes	0.03246031941941695	Bacteria;Firmicutes	Groundwater
SRR10070141	Phylum	Candidatus_Saccharibacteria	0.02270988126681642	Bacteria;Candidatus_Saccharibacteria	Groundwater
SRR10070141	Phylum	Acidobacteria	0.01814322035990225	Bacteria;Acidobacteria	Groundwater
SRR10070141	Phylum	Bacteroidetes	0.01508232331959221	Bacteria;Bacteroidetes	Groundwater
SRR10070149	Class	Deltaproteobacteria	0.17144016607095475	Bacteria;Proteobacteria;Deltaproteobacteria	Sediment
SRR10070149	Class	""	0.15864146467090168	Bacteria;;	Sediment
SRR10070149	Class	Betaproteobacteria	0.11601554573974933	Bacteria;Proteobacteria;Betaproteobacteria	Sediment
SRR10070149	Class	Anaerolineae	0.04524809190091932	Bacteria;Chloroflexi;Anaerolineae	Sediment
